"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"University of North Carolina School of the Arts","NC","27127-2738",5,70,69,70
"North Carolina State University at Raleigh","NC","27695-7001",5,85,83,88
"North Carolina Wesleyan College","NC","27804",5,40,31,58
"University of North Carolina Wilmington","NC","28403-5963",5,72,67,74
"William Peace University","NC","27604-1194",5,42,46,39
"University of North Carolina at Pembroke","NC","28372-1510",5,43,37,48
"Pfeiffer University","NC","28109-0960",5,34,30,38
"Queens University of Charlotte","NC","28274-0001",5,64,54,70
"Mid-Atlantic Christian University","NC","27909-4054",5,46,55,40
"Saint Augustine's University","NC","27610-2298",5,22,13,32
"Salem College","NC","27101",5,67,,67
"Shaw University","NC","27601",5,16,12,20
"St. Andrews University","NC","28352",5,31,20,41
"Southeastern Baptist Theological Seminary","NC","27587-1889",5,54,52,56
"Wake Forest University","NC","27106",5,90,86,94
"Warren Wilson College","NC","28778-2099",5,39,39,39
"Wingate University","NC","28174-0159",5,61,54,65
"Winston-Salem State University","NC","27110-0001",5,46,37,49
"Western Carolina University","NC","28723-9646",5,61,58,64
"Rasmussen University-North Dakota","ND","58103-7196",4,0,,0
"Bismarck State College","ND","58506-5587",4,,,
"Dickinson State University","ND","58601-4896",4,36,32,39
"Nueta Hidatsa Sahnish College","ND","58763",4,0,,0
"University of Jamestown","ND","58405",4,56,45,66
"University of Mary","ND","58504",4,64,62,66
"Mayville State University","ND","58257-1299",4,31,20,48
"Minot State University","ND","58707",4,46,38,54
"University of North Dakota","ND","58202-8193",4,62,58,66
"North Dakota State University-Main Campus","ND","58108-6050",4,65,63,67
"Sitting Bull College","ND","58538-9721",4,,,
"Trinity Bible College and Graduate School","ND","58436-7105",4,50,40,64
"Turtle Mountain Community College","ND","58316",4,27,0,30
"United Tribes Technical College","ND","58504",4,,,
"Valley City State University","ND","58072",4,53,49,57
"Herzing University-Akron","OH","44306-3931",3,0,0,0
